Unnamed: 0,id,Company Name,Cmt_day,Rating,Salary & benefits,Training & learning,Management cares about me,Culture & fun,Office & workspace,Recommend,positive_count,negative_count
0,4,Accenture,2025-03-01,4,4,4,4,4,4,1,13,1
1,4,Accenture,2025-01-01,4,3,4,4,4,5,1,8,1
2,4,Accenture,2023-10-01,3,3,3,3,3,3,1,8,0
3,4,Accenture,2025-02-01,3,2,2,3,4,4,0,3,0
4,4,Accenture,2023-02-01,4,3,4,4,4,3,1,12,2
5,4,Accenture,2022-10-01,4,4,4,4,5,4,1,7,0
6,4,Accenture,2022-10-01,4,4,5,5,5,4,1,7,0
7,4,Accenture,2022-10-01,4,4,4,4,4,2,1,8,2
8,4,Accenture,2022-10-01,5,5,5,5,5,5,1,6,0
9,4,Accenture,2022-10-01,5,5,5,5,5,5,1,9,1
10,4,Accenture,2022-05-01,4,2,4,4,4,3,1,6,1
11,4,Accenture,2021-02-01,2,2,1,1,3,3,0,7,13
12,4,Accenture,2019-09-01,3,2,3,3,3,5,1,0,0
13,4,Accenture,2018-07-01,3,2,5,1,5,5,1,3,0
14,4,Accenture,2018-06-01,3,2,3,3,3,4,0,2,2
15,4,Accenture,2018-04-01,3,2,3,3,2,5,1,5,1
16,4,Accenture,2018-02-01,4,3,4,4,4,5,1,2,0
17,4,Accenture,2017-09-01,4,2,3,4,4,4,1,7,0
18,5,Adnovum Vietnam,2024-04-01,5,4,5,4,5,5,1,10,1
19,5,Adnovum Vietnam,2023-02-01,4,4,4,4,4,4,1,6,1
20,5,Adnovum Vietnam,2021-11-01,4,3,3,5,5,4,1,11,4
21,5,Adnovum Vietnam,2020-04-01,5,5,5,5,5,5,1,4,1
22,5,Adnovum Vietnam,2019-05-01,4,4,3,5,4,4,1,14,6
23,5,Adnovum Vietnam,2019-05-01,5,3,5,5,5,5,1,19,1
24,6,Ahamove,2024-08-01,5,4,4,4,4,5,1,3,1
25,6,Ahamove,2023-10-01,3,3,3,2,3,3,1,3,2
26,6,Ahamove,2023-07-01,3,2,3,3,4,3,1,8,5
27,6,Ahamove,2023-07-01,4,4,4,3,5,4,1,7,2
28,6,Ahamove,2023-05-01,4,3,3,3,3,3,1,1,1
29,6,Ahamove,2023-04-01,4,3,4,4,4,4,1,12,4
30,6,Ahamove,2021-07-01,5,5,5,5,4,4,1,31,4
31,6,Ahamove,2021-07-01,4,3,4,5,4,3,1,7,2
32,6,Ahamove,2020-11-01,4,4,4,4,4,4,1,0,0
33,6,Ahamove,2020-03-01,4,4,3,3,3,4,1,3,0
34,6,Ahamove,2019-09-01,2,1,3,1,3,2,0,6,6
35,6,Ahamove,2019-07-01,4,4,5,5,5,5,1,3,1
36,10,Allexceed Việt Nam,2024-12-01,4,4,3,4,4,4,1,5,1
37,10,Allexceed Việt Nam,2024-01-01,4,4,4,5,5,5,1,3,1
38,10,Allexceed Việt Nam,2022-12-01,4,4,4,4,4,4,1,4,5
39,10,Allexceed Việt Nam,2022-05-01,5,3,3,5,5,5,1,10,7
40,10,Allexceed Việt Nam,2022-03-01,4,4,4,4,3,4,1,6,5
